#T	V1	I(V1)
1.000100010001000133e-04	4.523274033478421607e+00	-4.523274079163444009e-04
2.000200020002000265e-04	9.040118961442514589e+00	-9.040119052294700794e-04
3.000300030003000534e-04	1.354411481631596637e+01	-1.354411495220682847e-03
5.000500050005000528e-04	2.248797984991735888e+01	-2.248798007524174195e-03
8.096041078550402295e-04	3.605962441307692501e+01	-3.605962477410543706e-03
1.176029114149799515e-03	5.147643285173923289e+01	-5.147643336691276779e-03
1.602772147455149574e-03	6.817551509929768372e+01	-6.817551578142626474e-03
2.088713779784401835e-03	8.502475286319592840e+01	-8.502475371376350469e-03
2.635423002648748861e-03	1.005549866817823812e+02	-1.005549876875803245e-02
3.248480618540673312e-03	1.128823905360653868e+02	-1.128823916650433662e-02
3.942623698293626182e-03	1.195722225124173264e+02	-1.195722237081782262e-02
4.756230707540556706e-03	1.170482002566214135e+02	-1.170482014270026946e-02
5.840010240005995626e-03	9.690418781292666495e+01	-9.690418878169753183e-03
6.606143489824914221e-03	7.273077053517353363e+01	-7.273077126212119936e-03
7.207718904970524844e-03	4.940705514990804659e+01	-4.940705564356321321e-03
7.697565997356926176e-03	2.848685568785764133e+01	-2.848685597228742261e-03
8.091438455928457590e-03	1.092790562182661951e+01	-1.092790573065283979e-03
8.373209844180799430e-03	-1.803902903881180020e+00	1.803902922371072338e-04
8.526825327175803840e-03	-8.745610952972295848e+00	8.745611040881319303e-04
8.678511864436792844e-03	-1.557147497887315701e+01	1.557147513503499099e-03
8.937606134754579740e-03	-2.710082942128289574e+01	2.710082969273408440e-03
9.259974203361843667e-03	-4.107280847695422921e+01	4.107280888810626272e-03
9.646859467384701070e-03	-5.702361612370305011e+01	5.702361669433984349e-03
1.009362069032829733e-02	-7.391602190530321081e+01	7.391602264481902246e-03
1.059993667879108661e-02	-9.050828481749064736e+01	9.050828572287332452e-03
1.116811405469563846e-02	-1.051883303568445314e+02	1.051883314089447491e-02
1.180624025938299335e-02	-1.159191122832058198e+02	1.159191134425163576e-02
1.253434447055153111e-02	-1.199899417813493869e+02	1.199899429812412155e-02
1.340883206677428476e-02	-1.130252581531978251e+02	1.130252592832987207e-02
1.442359756669168297e-02	-8.980566928227082713e+01	8.980567018002158855e-03
1.513210078374536277e-02	-6.561401444652382509e+01	6.561401510228700995e-03
1.569686710877043687e-02	-4.290181677382378211e+01	4.290181720241459905e-03
